urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Enerji Verimliliği Ürün Grubu,ES3 Serisi Güç ve Enerji Ölçer,ES3 Serisi Güç ve Enerji Ölçer,Cihazda kurulum yaparken yada herhangi bir ayar değişikliği yaparken işlem yapamıyorum. Tuşlara bassam da tuşlar komut almıyor. Ne yapmalıyım?,ES3 Serisi Güç ve Enerji ölçer cihazlarda klemens bağlantı kapakları kapalı konumdayken cihaz kendini kilitler  ve herhangi bir ayar değişikliği veya  kurulum  yapılmasına izin vermez. Cihazın klemens kapağı açıldığında kilit modu pasif olacaktır. Bu işlem sonrası cihazda kurulum ayarları ve herhangi bir ayar değişikliği yapılabilir olacaktır.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983285/ES3+Serisi+G%C3%BC%C3%A7+ve+Enerji+%C3%96l%C3%A7er
Koruma & Kontrol Ürün Grubu,ERB-50,ERB-50 zaman rölesi bağlantısı hakkında,ERB-50 zaman rölesinde yıkama ayarı nasıl yapılıyor.,"Yıkama ayarı seçici anahtar ile yapılıyor. 5 farklı yıkama süresi mevcuttur.
T0-T1 = 30sn. T0-T2 = 60sn. T0-T3 = 90sn. T0-T4 = 120sn. T0-T5 = 180sn",No labels,https://destek.entes.com.tr/spaces/SP/pages/983389/ERB-50+zaman+r%C3%B6lesi+ba%C4%9Flant%C4%B1s%C4%B1+hakk%C4%B1nda
Enerji Yönetimi Ürün Grubu,"ETMO-02, ETMO-10, GEMO-10-2G, GEMO-10-3G",ETMO veya GEMO Tipi Modemlere Bağlanabilir Cihaz Sayıları Ne Olmalıdır?,ETMO ve GEMO serisi modemlerin Entbus ve Enerji Doktoru yazılımlarına göre bağlanabilir cihaz sayıları nedir?,"ENTBUS yazılımında haberleşme alt yapısının seri atlamalı ve belirli mesafelerde uygulanması halinde önerilen cihaz adedi ETMO-02 modeline 2 adet, ETMO-10 modeline ise 15-20 adet şeklinde bağlanabilir. GEMO serisi modemler için yine haberleşme alt yapısının seri atlamalı ve belirli mesafelerde uygulanması ve de sinyal seviyesinin yüksek olması koşullarında maksimum 6-7 adet cihaz bağlanabilir. ENERJİ DOKTORU yazılımında ETMO-10 modeli ile yapılan alt yapılarda ve loglu cihazlar olması koşulunda Önerilen Cihaz Adedi: 6 Maksimum Cihaz Adedi: 8 ENERJİ DOKTORU yazılımında GEMO Serisi modem ve  Gprs ile yapılan çalışan alt yapılarda Önerilen Cihaz Adedi: 2 Maksimum Cihaz Adedi: 4",entbus;enerjidoktoru;etmo;gemo,https://destek.entes.com.tr/spaces/SP/pages/983524/ETMO+veya+GEMO+Tipi+Modemlere+Ba%C4%9Flanabilir+Cihaz+Say%C4%B1lar%C4%B1+Ne+Olmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,ETMO,ETMO konfigürasyon arayüzü üzerinden IP tanımlanıp kaydediliyor fakat kontrol edildiğinde IP alanı boş gözüküyor.,ETMO konfigürasyon arayüzü üzerinden IP tanımlanıp kaydediliyor fakat kontrol edildiğinde IP alanı boş gözüküyor.,Donanımın ethernet kablosu eğer takılı değil ise IP ayarlandıktan sonra boş gözükecektir. Ancak ethernet kablosu takıldığında tanımladığınız IP gözükecektir.,etmo-02;etmo-10,https://destek.entes.com.tr/spaces/SP/pages/983242/ETMO+konfig%C3%BCrasyon+aray%C3%BCz%C3%BC+%C3%BCzerinden+IP+tan%C4%B1mlan%C4%B1p+kaydediliyor+fakat+kontrol+edildi%C4%9Finde+IP+alan%C4%B1+bo%C5%9F+g%C3%B6z%C3%BCk%C3%BCyor.
Enerji Verimliliği Ürün Grubu,MPR-4X,MPR-4X Serisi Test Hata Kodu Açıklamaları Nedir?,MPR-4X Serisi Test tuşuna basılı tuttuğumuzda gelen hata kodlarının açıklamaları nelerdir?,"MPR-4X serisinde test tuşuyla hata tespiti yapabilmek için belirli koşulları yerine getirmek gerekmektedir. Bu koşullar aşağıdaki gibidir.
• Nominal gerilimin en az % 20’si gerilim ölçüm girişlerine uygulanmalıdır. • Nominal akımın en az % 10’u akım ölçüm girişlerine uygulanmalıdır. • Akım ve gerilim girişleri arasındaki açı farkı 30 dereceden daha az olmalıdır (Cos φ değeri endüktif 0,87 ile kapasitif 0,87 arasında olmalıdır.)
Eğer bu koşullar sağlandıysa test tuşuna 3 saniye basılı tutulduğunda bağlantıda bir hata varsa size hata kodu gelecektir. Hata kodları ve açıklamaları aşağıdaki gibidir.
Test Hata Kodu      Test Kodu Açıklaması 0                       Tüm bağlantılar doğrudur. 1                        Faz-1 akım yönü terstir. 2                        Faz-2 akım yönü terstir. 3                        Faz-3 akım yönü terstir. 4                        Faz-1 ve Faz-2 gerilim uçları ters bağlanmıştır. 5                        Faz-1 ve Faz-3 gerilim uçları ters bağlanmıştır. 6                        Faz-2 ve Faz-3 gerilim uçları ters bağlanmıştır. 7                        Gerilim faz sırası L1, L2, L3 dir. L3, L1, L2 olarak değiştirilecektir. 8                        Gerilim faz sırası L3, L2, L1 dir. L3, L1, L2 olarak değiştirilecektir. 9                         CT-1, CT-2 değiştirilecek. 10                      CT-1, CT-3 değiştirilecek. 11                      CT-2, CT-3 değiştirilecek. 12                      Test şartları karşılanmadı.",mpr-45s;mpr-45;mpr-47s-0;mpr-47s;mpr-46s,https://destek.entes.com.tr/spaces/SP/pages/983305/MPR-4X+Serisi+Test+Hata+Kodu+A%C3%A7%C4%B1klamalar%C4%B1+Nedir
Kompanzasyon Ürün Grubu,Örn. MPR-4x Serisi... Aramalarda çıkacak şekilde yazılmalıdır,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Kademe Deşarj Süresi Ayarlama,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Kademe Deşarj Süresinde Değişiklik Yapılıp İstenilen Zaman Girile biliyor mudur?,"Dejarj süresi kondansatör batarya üreticilerinin belirlediği zaman dilimlerinde olmalıdır. Eğer deşarj bobini ve ya deşarj bobinli kontaktörler kullanılıyorsa, bu süre üreticinin belirttiği kriterlere uygun sürelerde kısaltılabilir.
Bu ayarlar ulaşım için;
Set düğmesine basılı tutulup dely zaman ayarları menüsüne ulaşılınır. Daha sonradan menü içine girilip t-rc menüsüne girilip bu menüden zaman ayarı girilip değişiklik yapılabilir. Çıkarken esc tuşuna bir kez SAVE SET YES yazısı görünene kadar basılır ve SET tuşu ile okeylenmelidir.",rg3;rg3-12c;rg,https://destek.entes.com.tr/spaces/SP/pages/983555/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Kademe+De%C5%9Farj+S%C3%BCresi+Ayarlama
Enerji Verimliliği Ürün Grubu,"MPR-1,2,3,4 Serisi Analizörler","MPR-1,2,3,4 Serisi Analizörlerde Seri Akım Bİlgisi Alma","MPR-1,2,3,4 serisi cihazlardan akım bilgisini seri olarak alabilir miyim?","Tüm MPR serisi analizörlerde akım bilgisi seri olarak alınabilir. Ancak MPR-1,2,3 serisi cihazlar seri akım bilgisi alınırken son cihaz olarak kullanılmalıdır. MPR-1,2,3 serisi analizörlerin akım girişleri şöntlü olduğu için son cihaz olarak kullanılması gerekmektedir. Aksi halde  akım bilgileri cihazın kendi ekranında ve kendinden sonraki cihazlarda hataya yol açar.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983296/MPR-1+2+3+4+Serisi+Analiz%C3%B6rlerde+Seri+Ak%C4%B1m+B%C4%B0lgisi+Alma
Koruma & Kontrol Ürün Grubu,EPM Serisi,Epm-4C Hakkında,Epm-4C kullanıyorum dijit ekranındaki noktayı hangi parametreden kaydırıyoruz.,"Epm serisi ürünlerimizde ekrandaki okuduğun akım değerine göre nokta kendisi kaymaktadır.
Örnek : Çektiğiniz akım ikili hanelerde ise cihaz noktadan sonra iki hanede daha göstermektedir. 10.12 gibi",No labels,https://destek.entes.com.tr/spaces/SP/pages/983335/Epm-4C+Hakk%C4%B1nda
Koruma & Kontrol Ürün Grubu,Enerthings / Enerji Doktoru,"Sisteme tüm cihazları ekledim fakat “Tüketim Detayları”, “Tüketim Toplamları” gibi rapor sayfalarında tüketimleri göremiyorum.","Sisteme tüm cihazları ekledim fakat “Tüketim Detayları”, “Tüketim Toplamları” gibi rapor sayfalarında tüketimleri göremiyorum.","Sisteme yapılan cihaz tanımlamalarından sonra yapılacak bir diğer işlem, “Tesislerim” sayfasında tesis inşa kısmını açarak tesisimize ait cihazların ana pano veya yük atamalarının yapılması gerekmektedir. Bu tanımlama işleminden sonra rapor modüllerin de cihaz ve verileri gözükecektir.",enerjidoktoru;enerthings,https://destek.entes.com.tr/spaces/SP/pages/983551/Sisteme+t%C3%BCm+cihazlar%C4%B1+ekledim+fakat+%E2%80%9CT%C3%BCketim+Detaylar%C4%B1%E2%80%9D+%E2%80%9CT%C3%BCketim+Toplamlar%C4%B1%E2%80%9D+gibi+rapor+sayfalar%C4%B1nda+t%C3%BCketimleri+g%C3%B6remiyorum.
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic",Enerji Doktoru sisteminde birden fazla birim veya parametre aynı anda tek ekranda karşılaştırılabilir mi?,Sistemde birden fazla birim veya parametre aynı anda tek ekranda karşılaştırılabilir mi?,Periyodik değerler raporu kullanılarak aynı anda maksimum 2 birim ve 6 parametre olacak şekilde tablo veya grafik raporu alınabilir.,enerthings;enermedic;periyodikdeğerler;enerjidoktoru;çoklu,https://destek.entes.com.tr/spaces/SP/pages/983146/Enerji+Doktoru+sisteminde+birden+fazla+birim+veya+parametre+ayn%C4%B1+anda+tek+ekranda+kar%C5%9F%C4%B1la%C5%9Ft%C4%B1r%C4%B1labilir+mi
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic",Enerji Doktoru sisteminde elde edilen tüketim verileri kaç farklı formatta analiz edile bilir?,Sistemden elde edilen tüketim verileri kaç farklı formatta analiz edile bilir?,"Tüketim verileri “Detaylı Tüketim, Tüketim Toplamları ve Tüketim Özeti” şablonlarından
“TEP” – “CO2 (Emisyon)” gibi farklı formatlar ile görüntülenebilir.",emisyon;tep;co2;enerthings;enerjidoktoru;karbon;petrol;ton;enermedic,https://destek.entes.com.tr/spaces/SP/pages/983258/Enerji+Doktoru+sisteminde+elde+edilen+t%C3%BCketim+verileri+ka%C3%A7+farkl%C4%B1+formatta+analiz+edile+bilir
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic","Enerji Doktoru ile Kademelerin (Reaktif Güç Kontrol Röleleri) Durum Bilgilerini Alınıp, Uzaktan Kontrol Edilebilir mi?","Sistemde bulunan kompanzasyon sistemine ait kademelerin durum ve güç bilgilerini alıp, uzaktan kontrol edebilir mi?","Kademelerin “Auto Setup” sonu elde edilmiş değerleri ile saatte bir elde edilen okuma değerleri ile analiz edilerek aşağıdaki aralıklarda sağlık durumları gösterilmektedir.
Sağlıklı %80-100 Riskli %60-80 Sağlıksız ≤ % 60 Uzaktan kontrol etme imkanı bulunmamaktadır.",kompanzasyon;enermedic;enerthings;kademe;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983572/Enerji+Doktoru+ile+Kademelerin+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6leleri+Durum+Bilgilerini+Al%C4%B1n%C4%B1p+Uzaktan+Kontrol+Edilebilir+mi
Enerji Verimliliği Ürün Grubu,EVM-05C,EVM-05C Voltmetrenin Kontak Ayarı Hk.,EVM-05C Voltmetrenin kontak çıkışı ayarlanırken her fazı tek tek ayarlamak şart mı? Tek fazı ayarlasam diğer fazlar içinde referans olur mu?,EVM-05C Voltmetrenin  kontak çıkışı ayarlanırken her faz için tek tek değer girilmelidir. Hangi faza değer girilirse ayar o faz için geçerlidir. Ayar girilmeyen fazlarda oluşacak dengesizliği EVM-05C göz ardı eder.,evm-05c,https://destek.entes.com.tr/spaces/SP/pages/983569/EVM-05C+Voltmetrenin+Kontak+Ayar%C4%B1+Hk.
Kompanzasyon Ürün Grubu,"Kompanzasyon , Kontaktör , Statik","SC-225 , SC-250 , SC-325 , SC-350 STATİK KONTAKTÖRLERDE EXT KLEMENS BAĞLANTISI",SC Serisi Statik Kontaktörleri Devreye Alımında EXT Klemensinin Nasıl Bağlanması Gerekir.,Entes SC Serisi Statik Kontaktörlerde EXT Klemensi Bağlantısı Eğer Sistemde Harmonik Filtre Varsa Bu Klemense Harmonik Filtrenin Termik Ucu Bağlanmalıdır.,kontaktör;statik;kompanzasyon,https://destek.entes.com.tr/spaces/SP/pages/983487/SC-225+SC-250+SC-325+SC-350+STAT%C4%B0K+KONTAKT%C3%96RLERDE+EXT+KLEMENS+BA%C4%9ELANTISI
Enerji Verimliliği Ürün Grubu,ES3x-MID,ES3-X-MID Enerji ve Güç Ölçer,Cihaz kurulumu yaparken saat bölgesi seçiminden sonrasına ilerleyemiyorum veya cihaz kurulsa dahi menülerde ayar yapmak istediğim zaman işlem yapamıyorum ne yapmalıyım?,ES3 serisi enerji ve güç ölçer cihazların MID versiyonlarında kapakların kapalı olması durumunda cihaz mühürlenme işlemi yapılmış kabul eder kullanıcı ayar ve kurulumlarına izin vermez. Bu nedenle kurulum ve cihaz menü içerisinde kullanıcı ayarı vb durumları gerçekleştirebilmeniz için bağlantı kapaklarının açık konumda olup ekrandaki kilit ışığının yanıp söner vaziyette olması gerekmektedir.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983173/ES3-X-MID+Enerji+ve+G%C3%BC%C3%A7+%C3%96l%C3%A7er
Enerji Verimliliği Ürün Grubu,Mpr-2 serisi,Mpr-27s-23 saat ayarı hakkında,Mpr-27s-22 analizörünü bağladım tarih ve saat ayarı değişiyor neden kaynaklı olabilir.,"Mpr-2 serisi analizörlerimizde  tarih ,saat ve log kayıtlarının düzgün alınabilmesi için içinden çıkan pilin takılı olması lazımdır.
Eğer analizörün pili takılı değilse cihazın enerjisi her kesildiğinde tarih ve saat ayarı değişmektedir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983575/Mpr-27s-23+saat+ayar%C4%B1+hakk%C4%B1nda
Enerji Verimliliği Ürün Grubu,"DCA-10, DCA-10S, DCA-10C, DCA-10CS",DCA Serisi DC Ampermetrelerde Şönt Direnci Kullanılmak Zorunda mıdır?,DC Ampermetrelerde Şönt Direnci Kullanılmak Zorunda mıdır yoksa AC Ampermetreler gibi belirli bir akıma kadar direk ölçüm yapabilir mi?,"DC Ampermetrelerde şönt direnci kullanmak şarttır.
AC Ampermetrelerdeki gibi 5 Amper ve altındaki yüklerde direk okuma yapamazsınız.
DC Ampermetrelerde yüke göre şönt direnci kullanılması gerekmektedir.",dca-11s;dca-10c;dca-10s;dca-11;dca-10;pazarlamakontrol,https://destek.entes.com.tr/spaces/SP/pages/983162/DCA+Serisi+DC+Ampermetrelerde+%C5%9E%C3%B6nt+Direnci+Kullan%C4%B1lmak+Zorunda+m%C4%B1d%C4%B1r
Kompanzasyon Ürün Grubu,ENS.CCT Clamp Tip Akım Trafoları,ENS.CCT Clamp Tip akım trafolarında sekonder uçları açık bırakılır mı?,ENS.CCT Clamp Tip akım trafolarında sekonder uçları açık bırakılır mı?,"Ayrılabilir tip akım trafoları, klasik akım trafolarında sekonder uçlarının açık bırakılmasından kaynaklı arızaları içyapıları sayesinde engeller.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983233/ENS.CCT+Clamp+Tip+ak%C4%B1m+trafolar%C4%B1nda+sekonder+u%C3%A7lar%C4%B1+a%C3%A7%C4%B1k+b%C4%B1rak%C4%B1l%C4%B1r+m%C4%B1
Enerji Yönetimi Ürün Grubu,Eenrthings,"Mevcut Enertings lisansımda alım yaparak lisans adetini arttırmış oldum, sistem tarafında nasıl güncelleyebilirim?","Mevcut Enertings lisansımda alım yaparak lisans adetini arttırmış oldum, sistem tarafında nasıl güncelleyebilirim?","İlk lisansın tanımının yapıldığı enerjidoktoru.com üzerinden açılmış olan hesap ile, mobil uygulama üzerinden giriş yapılır.
Lisanlarım bölümünden yeni QR kod üretilir.
Ardından Enerthings hesabınızda lisanlarım bölümünden lisansınızı güncelle ile kare kod okutulur, sonrasında mobil üzerinde beliren aktivasyon anahtarı Enertings ara yüzüne giriş yapılarak aktif edilir.",enerthings,https://destek.entes.com.tr/spaces/SP/pages/983338/Mevcut+Enertings+lisans%C4%B1mda+al%C4%B1m+yaparak+lisans+adetini+artt%C4%B1rm%C4%B1%C5%9F+oldum+sistem+taraf%C4%B1nda+nas%C4%B1l+g%C3%BCncelleyebilirim
Enerji Verimliliği Ürün Grubu,"Mpr-2x , Mpr-3x , Mpr-4x",Mpr-2x/3x/4X serisi şebeke analizörlerinde max akım ve gerilimi nasıl görebilirim?,"Mpr-2x/3x/4x serisi şebeke analizörü kullanmaktayım. Cihazlar üzerinden cihazın devreye alındığı andan itibaren şimdiye kadar maksimum ve mininmum değerde gördüğü akım, gerilim değerlerini nasıl görebilirim?","Maksimum akım ve minimum akım için akım ekranına gelinir. Set tuşuna basıldığında akım demandı gelir. Tekrar set tuşuna basıldığında max demand ekranı gelir. Tekrar set tuşuna basıldığı zaman maksimum akım ekranını görebilirsiniz. Tekrar set tuşuna basıldığında ise minimum akım ekranını görebilirsiniz.
Maksimum gerilim ve minimum akım için gerilim ekranına gelinir. Set tuşuna basıldığında gerilim demandı gelir. Tekrar set tuşuna basıldığında max demand ekranı gelir. Tekrar set tuşuna basıldığı zaman maksimum gerilim ekranını görebilirsiniz. Tekrar set tuşuna basıldığında ise minimum gerilim ekranını görebilirsiniz.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983249/Mpr-2x+3x+4X+serisi+%C5%9Febeke+analiz%C3%B6rlerinde+max+ak%C4%B1m+ve+gerilimi+nas%C4%B1l+g%C3%B6rebilirim
Enerji Verimliliği Ürün Grubu,"Veri Toplayıcı , EPC-12",EPC-12 Ürünü Nedir ve Ne İşe Yaramaktadır ?,"İşletmem'de Su , Doğalgaz vb Sayaçları Okuyup Sistemimde Tüketimlerini Takip Etmek İstiyorum.",ENTES EPC-12 Veri Toplayıcı Vasıtası İle İşletmenizde 12 Adet Herhangi Bir Sayıcın Pulse Counter Uçlarını 12 Kanallı Ürüne Girerek ve Ürünüde RS-485 Haberleşme ile Haberleştirerek Yazılımınıza Taşıyabilirsiniz.,veri;sayaç;epc-12;pulse,https://destek.entes.com.tr/spaces/SP/pages/983396/EPC-12+%C3%9Cr%C3%BCn%C3%BC+Nedir+ve+Ne+%C4%B0%C5%9Fe+Yaramaktad%C4%B1r
Kompanzasyon Ürün Grubu,RGP- Serisi,RGP Serisi cihazlarda jeneratör devreye girdiğinde PFC özelliği devre dışı bırakılabilir mi?,RGP Serisi cihazlarda jeneratör devreye girdiğinde PFC özelliği devre dışı bırakılabilir mi?,RGP serisi cihazlarının arka kısmında bulunan GEN INPUT girişlerine jeneratör devredeyken 110V ve ya 220 V gerilim uygulanarak cihazın jeneratörün devrede olduğunu algılaması sağlanır. Ayrıca cihazdaki menüden  ‘’Ayarlar’’ kısmının altında bulunan  ‘’PFC’’ sekmesinden  ‘’PFC GENRTR’’ seçeneği  ‘’ AKTİF’’ yapılır ve ‘’NE YAPSIN’’ bölümü kapalı konuma getirilir.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983588/RGP+Serisi+cihazlarda+jenerat%C3%B6r+devreye+girdi%C4%9Finde+PFC+%C3%B6zelli%C4%9Fi+devre+d%C4%B1%C5%9F%C4%B1+b%C4%B1rak%C4%B1labilir+mi
Kompanzasyon Ürün Grubu,RGA-15S,RGA Reaktif Güç Kontrol Rölesi GES Uyumlu Mu?,Bir müşterimiz deposunun üstüne çatı GES kurulduğunu bunu kompanze etmek için reaktif güç kontrol rölesini değiştireceğini RGA serisi reaktif güç kontrol rölelerinin GES sistemini kompanze edip etmediğini sormaktadır.,RGA ve RGSR serisi reaktif güç kontrol rölelerinde Ekim 2021 tarihinden sonra yapılan güncellemeyle çatı GES sistemlerini kompanze etmektedir. Ürün seçilirken etiket üzerinden üretim tarihi kontrol edilip öyle alınmalıdır.,rga-15s;rga-20s,https://destek.entes.com.tr/spaces/SP/pages/983334/RGA+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lesi+GES+Uyumlu+Mu
Enerji Verimliliği Ürün Grubu,MPR-4X Serisi Analizörler,MPR-4X Serisi Analizörler'de Herhagi Bir MM Modül Takılmasında Ne Yapılmalıdır?,MPR -4X Analizör'de MM Modül Takıldığında Menü İçeriğinde Modüle Ait Ayarlar Neden Çıkmamaktadır?,MPR-4X Analizöre Herhangi Bir MM Modül Takıldığında Cihaz Bu Modülü Algılamamaktadır. Bu Yüzden Cihazın Beslemesini Kapatıp Açtığımızda Cihaz Modülü Tanıyacak Ve İstenilen Ayarlar Set Edilecektir.,mpr;modül;mpr-4x;analizör,https://destek.entes.com.tr/spaces/SP/pages/983313/MPR-4X+Serisi+Analiz%C3%B6rler+de+Herhagi+Bir+MM+Mod%C3%BCl+Tak%C4%B1lmas%C4%B1nda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Kompanzasyon Ürün Grubu,"RGA , RGSR",RGA/RGSR Reaktif Güç Kontrol Rölelerinde Periyodik Kayıt Ayarları Zamanı ( Süreleri ) Nasıl Değiştirilir. ?,Reaktif Güç Kontrol Rölelerimizde Periyodik Kayıt Ayarı Fabrika Çıkışlı 15 Dakikadır. Bu Süreler Kullanıcı İsteğine Göre Nasıl Değiştirilmelidir.,"Reaktif Güç Kontrol Rölesinde F1 Tuşan 5 sn Basılı Tutularak Menüye Girilir. Çıkan Menüde , Kayıt Ayarları'nın Üzerine Gelinip F4 Tuşu İle Seç Yapılır. Çıkan Menüde ' Periyodik Kayıt Ayarları ' F4 Tuşu İle Seç Yapılır. Gelen Menüde İstediğimiz Kayıt Skalasının Üzerine Gelinir. Örn ; Yük Profili - Okey Simgesinin Üzerindeyken F3 Aşağı Tuşa Basılır. 15 Dakika Simgesinin Üzerine Gelir F4 İle Seç Yapılır. Periyot Menüsünde 1 ... 60 Dakikaya Kadar Zaman Seçeneği Çıkar Burada İstenilen Süre Seçilir. F5 İle Gir Yapılır. Ardından Tekrar F5 Çık Yapılır, Daha Sonradan Ayarlar Çık ' Kaydet Ve Çık EVET Seçilip F4 İle Gir Yapılır.",rgsr;röle;rga;pazarlamakontrol;reaktif,https://destek.entes.com.tr/spaces/SP/pages/983222/RGA+RGSR+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Periyodik+Kay%C4%B1t+Ayarlar%C4%B1+Zaman%C4%B1+S%C3%BCreleri+Nas%C4%B1l+De%C4%9Fi%C5%9Ftirilir.
